Parent ID,Parent Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
634,Franklin 2011 CFM,0.00751,1.0E-5,4.0E-5,7.0E-5,7.0E-4,0.00748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,Garberville - Briceland 2011 CFM,0.01857,1.0E-5,4.0E-5,1.6E-4,0.00154,0.01824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Garlic Springs,0.01115,1.8E-4,3.1E-4,4.6E-4,0.00167,0.01074,0.00166,1.8E-4,3.0E-4,3.9E-4,8.5E-4,0.00154,9.0E-5
341,Garlock (Central),0.16412,0.04743,0.06721,0.08256,0.1132,0.15561,0.14416,0.04743,0.06718,0.08244,0.11155,0.13803,0.07741
48,Garlock (East),0.05633,0.00627,0.01015,0.01353,0.02262,0.05126,0.03115,0.00627,0.01013,0.01337,0.02064,0.02829,0.00839
49,Garlock (West),0.01803,0.00321,0.00459,0.00584,0.00888,0.01797,0.01029,0.00321,0.00457,0.00573,0.00803,0.01028,0.00529
700,Gillem - Big Crack 2011 CFM,0.00797,0.0,2.0E-5,7.0E-5,6.6E-4,0.00682,2.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,0.0
160,Goldstone Lake,0.02326,5.8E-4,0.00146,0.00211,0.00532,0.02155,0.00725,5.8E-4,0.00145,0.00204,0.00399,0.00676,7.3E-4
701,Goose Lake 2011 CFM,0.0015,0.0,0.0,0.0,1.3E-4,0.00143,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
86,Gravel Hills-Harper Lk,0.01792,0.00116,0.00209,0.00299,0.00565,0.01713,0.00761,0.00116,0.00207,0.00289,0.00492,0.00731,0.00183
131,Great Valley 01,9.6E-4,0.0,0.0,1.0E-5,8.0E-5,9.4E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Great Valley 02,8.8E-4,0.0,1.0E-5,1.0E-5,6.0E-5,8.8E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Great Valley 03 Mysterious Ridge,0.01222,0.0,3.0E-5,1.0E-4,0.00103,0.01168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,Great Valley 03a Dunnigan Hills,0.01041,0.0,0.0,5.0E-5,6.0E-4,0.00905,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5
134,Great Valley 04a Trout Creek,0.00502,0.0,2.0E-5,4.0E-5,4.6E-4,0.00495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,Great Valley 04b Gordon Valley,0.00786,0.0,2.0E-5,3.0E-5,7.0E-4,0.00774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,Great Valley 05 Pittsburg - Kirby Hills alt1,0.01666,0.0,5.0E-5,1.3E-4,0.00146,0.01545,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
645,Great Valley 06 (Midland) 2011 CFM alt1,0.00432,0.0,0.0,0.0,3.1E-4,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Great Valley 07 (Orestimba),0.01395,0.0,1.0E-5,8.0E-5,0.0011,0.01334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Great Valley 08 (Quinto),0.00691,1.0E-5,2.0E-5,4.0E-5,6.7E-4,0.00682,4.0E-5,1.0E-5,1.0E-5,3.0E-5,4.0E-5,4.0E-5,0.0
151,Great Valley 09 (Laguna Seca),0.0274,3.0E-5,5.0E-5,1.8E-4,0.00244,0.02569,6.0E-5,3.0E-5,3.0E-5,3.0E-5,4.0E-5,5.0E-5,2.0E-5
138,Great Valley 10 (Panoche),0.00486,1.0E-5,1.0E-5,2.0E-5,3.7E-4,0.00485,2.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5,2.0E-5
139,Great Valley 11,0.00793,0.0,0.0,3.0E-5,6.9E-4,0.00782,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
140,Great Valley 12,0.00163,0.0,0.0,1.0E-5,1.1E-4,0.00163,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
