Subsection Index,Subsection Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
139,"Blackwater, Subsection 6",0.0019214968,4.269993E-4,6.6961255E-4,8.6370314E-4,0.0013748084,0.001918262,5.466885E-4
140,"Blackwater, Subsection 7",0.0019344361,4.3993868E-4,6.760822E-4,8.701728E-4,0.0013780432,0.0019279665,5.4992334E-4
141,"Blackwater, Subsection 8",0.0018341561,4.1405993E-4,6.340293E-4,8.1194565E-4,0.001300407,0.0018276863,5.2727945E-4
142,"Blackwater, Subsection 9",0.0015980125,3.5583274E-4,5.466885E-4,7.051958E-4,0.0011483693,0.0015915429,4.5934774E-4
143,"Blackwater, Subsection 10",0.001277763,2.781965E-4,4.269993E-4,5.466885E-4,9.1869547E-4,0.0012745282,3.6877213E-4
144,"Blue Cut, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"Blue Cut, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,"Blue Cut, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,"Blue Cut, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"Blue Cut, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,"Blue Cut, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,"Blue Cut, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,"Blue Cut, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,"Blue Cut, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,"Blue Cut, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,"Blue Cut, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,"Blue Cut, Subsection 11",0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,"Blue Cut, Subsection 12",0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,"Brawley (Seismic Zone) alt 1, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,"Brawley (Seismic Zone) alt 1, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,"Brawley (Seismic Zone) alt 1, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,"Brawley (Seismic Zone) alt 1, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,"Brawley (Seismic Zone) alt 1, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,"Brawley (Seismic Zone) alt 1, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,"Brawley (Seismic Zone) alt 1, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,"Brawley (Seismic Zone) alt 1, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"Brawley (Seismic Zone) alt 1, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"Brawley (Seismic Zone) alt 1, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"Breckenridge 2011, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"Breckenridge 2011, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,"Bullion Mountains, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,"Bullion Mountains, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"Bullion Mountains, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,"Bullion Mountains, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,"Bullion Mountains, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,"Bullion Mountains, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,"Burnt Mtn, Subsection 0",3.2348432E-6,0.0,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,0.0
176,"Burnt Mtn, Subsection 1",3.2348432E-6,0.0,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,0.0
177,"Burnt Mtn, Subsection 2",3.2348432E-6,0.0,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,0.0
178,"Butano 2011 CFM, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"Butano 2011 CFM, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,"Butano 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
