Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
163,"Brawley (Seismic Zone) alt 1, Subsection 6",0.001552,0.619,6.4E-5,0.031,3.4E-5,0.0017077072
164,"Brawley (Seismic Zone) alt 1, Subsection 7",0.001542,0.616,6.4E-5,0.031,3.4E-5,0.0016895521
165,"Brawley (Seismic Zone) alt 1, Subsection 8",0.001524,0.609,6.4E-5,0.031,3.4E-5,0.0016708927
166,"Brawley (Seismic Zone) alt 1, Subsection 9",0.00151,0.606,6.4E-5,0.031,3.4E-5,0.0016540159
167,"Breckenridge 2011, Subsection 0",0.0,0.0,0.0,0.0,0.0,7.0695196E-6
168,"Breckenridge 2011, Subsection 1",0.0,0.0,0.0,0.0,0.0,7.0695196E-6
169,"Bullion Mountains, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
170,"Bullion Mountains, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
171,"Bullion Mountains, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
172,"Bullion Mountains, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
173,"Bullion Mountains, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0
174,"Bullion Mountains, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
175,"Burnt Mtn, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
176,"Burnt Mtn, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
177,"Burnt Mtn, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
178,"Butano 2011 CFM, Subsection 0",1.04E-4,0.05,4.0E-6,0.002,4.0E-6,1.122643E-4
179,"Butano 2011 CFM, Subsection 1",1.12E-4,0.054,4.0E-6,0.002,4.0E-6,1.1723682E-4
180,"Butano 2011 CFM, Subsection 2",1.32E-4,0.064,8.0E-6,0.004,6.0E-6,1.4218914E-4
181,"Butano 2011 CFM, Subsection 3",7.8E-5,0.039,6.0E-6,0.003,4.0E-6,1.0010097E-4
182,"Butano 2011 CFM, Subsection 4",8.0E-5,0.04,6.0E-6,0.003,4.0E-6,1.0136862E-4
183,"Butano 2011 CFM, Subsection 5",7.8E-5,0.039,6.0E-6,0.003,4.0E-6,1.0198988E-4
184,"Butano 2011 CFM, Subsection 6",8.0E-5,0.04,6.0E-6,0.003,4.0E-6,1.0191198E-4
185,"Butano 2011 CFM, Subsection 7",7.6E-5,0.038,6.0E-6,0.003,4.0E-6,1.0051786E-4
186,"Cady, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
187,"Cady, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
188,"Cady, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
189,"Cady, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
190,"Cady, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0
191,"Calaveras (Central) 2011 CFM, Subsection 0",5.62E-4,0.256,2.0E-5,0.01,8.0E-6,6.886734E-4
192,"Calaveras (Central) 2011 CFM, Subsection 1",5.78E-4,0.263,2.0E-5,0.01,8.0E-6,7.053029E-4
193,"Calaveras (Central) 2011 CFM, Subsection 2",5.84E-4,0.265,1.8E-5,0.009,8.0E-6,7.138625E-4
194,"Calaveras (Central) 2011 CFM, Subsection 3",5.88E-4,0.269,1.8E-5,0.009,8.0E-6,7.181562E-4
195,"Calaveras (Central) 2011 CFM, Subsection 4",5.8E-4,0.268,1.6E-5,0.008,8.0E-6,7.0995546E-4
196,"Calaveras (Central) 2011 CFM, Subsection 5",5.7E-4,0.264,1.6E-5,0.008,8.0E-6,7.086709E-4
197,"Calaveras (Central) 2011 CFM, Subsection 6",5.7E-4,0.263,1.6E-5,0.008,8.0E-6,7.12972E-4
198,"Calaveras (Central) 2011 CFM, Subsection 7",5.8E-4,0.268,1.6E-5,0.008,8.0E-6,7.206574E-4
199,"Calaveras (Central) 2011 CFM, Subsection 8",5.72E-4,0.265,1.6E-5,0.008,8.0E-6,7.139893E-4
200,"Calaveras (Central) 2011 CFM, Subsection 9",1.72E-4,0.083,8.0E-6,0.004,4.0E-6,1.9365763E-4
201,"Calaveras (No) 2011 CFM, Subsection 0",1.04E-4,0.051,4.0E-6,0.002,2.0E-6,1.3371688E-4
202,"Calaveras (No) 2011 CFM, Subsection 1",1.14E-4,0.055,6.0E-6,0.003,4.0E-6,1.3975459E-4
203,"Calaveras (No) 2011 CFM, Subsection 2",1.18E-4,0.056,6.0E-6,0.003,4.0E-6,1.4445579E-4
204,"Calaveras (No) 2011 CFM, Subsection 3",1.28E-4,0.061,6.0E-6,0.003,4.0E-6,1.4901883E-4
205,"Calaveras (No) 2011 CFM, Subsection 4",1.4E-4,0.067,6.0E-6,0.003,4.0E-6,1.5399273E-4
206,"Calaveras (No) 2011 CFM, Subsection 5",1.44E-4,0.069,6.0E-6,0.003,4.0E-6,1.5951673E-4
207,"Calaveras (No) 2011 CFM, Subsection 6",1.44E-4,0.069,6.0E-6,0.003,4.0E-6,1.5951673E-4
208,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 0",5.36E-4,0.241,2.2E-5,0.011,8.0E-6,6.6125626E-4
209,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 1",5.38E-4,0.242,2.4E-5,0.012,1.0E-5,6.6780066E-4
210,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 2",5.36E-4,0.241,2.4E-5,0.012,1.0E-5,6.5916235E-4
211,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 3",5.26E-4,0.236,2.4E-5,0.012,1.0E-5,6.434006E-4
212,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 4",5.18E-4,0.234,2.4E-5,0.012,1.0E-5,6.2378903E-4
213,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 5",5.0E-4,0.224,2.6E-5,0.013,1.2E-5,5.926348E-4
214,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 6",4.62E-4,0.212,2.6E-5,0.013,1.2E-5,5.315213E-4
215,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 7",5.48E-4,0.247,3.2E-5,0.016,1.4E-5,5.8708113E-4
216,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 8",1.46E-4,0.071,6.0E-6,0.003,2.0E-6,1.545517E-4
217,"Calaveras (So) 2011 CFM, Subsection 0",5.6E-4,0.254,2.2E-5,0.011,8.0E-6,6.826998E-4
218,"Calaveras (So) 2011 CFM, Subsection 1",5.72E-4,0.26,2.2E-5,0.011,8.0E-6,6.949656E-4
219,"Calaveras (So) 2011 CFM, Subsection 2",5.74E-4,0.26,2.2E-5,0.011,8.0E-6,7.003961E-4
220,"Calaveras (So) 2011 CFM, Subsection 3",5.7E-4,0.258,2.0E-5,0.01,8.0E-6,6.9987046E-4
221,"Calaveras (So) 2011 CFM, Subsection 4",5.64E-4,0.256,2.0E-5,0.01,8.0E-6,6.9659983E-4
222,"Calaveras (So) 2011 CFM, Subsection 5",5.62E-4,0.255,2.0E-5,0.01,8.0E-6,6.8892044E-4
223,"Calico-Hidalgo, Subsection 0",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4155811E-4
224,"Calico-Hidalgo, Subsection 1",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.438587E-4
225,"Calico-Hidalgo, Subsection 2",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
226,"Calico-Hidalgo, Subsection 3",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
227,"Calico-Hidalgo, Subsection 4",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
228,"Calico-Hidalgo, Subsection 5",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
229,"Calico-Hidalgo, Subsection 6",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
230,"Calico-Hidalgo, Subsection 7",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
231,"Calico-Hidalgo, Subsection 8",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
232,"Calico-Hidalgo, Subsection 9",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
233,"Calico-Hidalgo, Subsection 10",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
234,"Calico-Hidalgo, Subsection 11",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
235,"Calico-Hidalgo, Subsection 12",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
236,"Calico-Hidalgo, Subsection 13",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
237,"Calico-Hidalgo, Subsection 14",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
238,"Calico-Hidalgo, Subsection 15",1.36E-4,0.067,1.6E-5,0.008,8.0E-6,2.4587236E-4
239,"Calico-Hidalgo, Subsection 16",1.0E-4,0.05,1.4E-5,0.007,6.0E-6,1.7955287E-4
240,"Calico-Hidalgo, Subsection 17",2.2E-5,0.011,0.0,0.0,0.0,3.5521905E-5
241,"Camp Rock 2011, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
242,"Camp Rock 2011, Subsection 1",6.0E-6,0.003,2.0E-6,0.001,2.0E-6,6.0953626E-5
243,"Camp Rock 2011, Subsection 2",6.0E-6,0.003,2.0E-6,0.001,2.0E-6,6.0953626E-5
244,"Camp Rock 2011, Subsection 3",6.0E-6,0.003,2.0E-6,0.001,2.0E-6,6.0953626E-5
245,"Camp Rock 2011, Subsection 4",6.0E-6,0.003,2.0E-6,0.001,2.0E-6,6.0953626E-5
246,"Camp Rock 2011, Subsection 5",6.0E-6,0.003,2.0E-6,0.001,2.0E-6,6.0953626E-5
247,"Canada David (Detachment), Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
248,"Canada David (Detachment), Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
249,"Canada David (Detachment), Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
250,"Carlsbad, Subsection 0",4.0E-6,0.002,0.0,0.0,0.0,4.670579E-6
251,"Carlsbad, Subsection 1",4.0E-6,0.002,0.0,0.0,0.0,6.0235825E-6
252,"Carlsbad, Subsection 2",6.0E-6,0.003,2.0E-6,0.001,0.0,8.1210865E-6
253,"Carlsbad, Subsection 3",8.0E-6,0.004,2.0E-6,0.001,0.0,1.0947258E-5
254,"Carlsbad, Subsection 4",8.0E-6,0.004,2.0E-6,0.001,0.0,1.688723E-5
