Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
146,"Blue Cut, Subsection 2",2.22E-4,0.11,3.1820263E-4
147,"Blue Cut, Subsection 3",2.42E-4,0.12,3.3774355E-4
148,"Blue Cut, Subsection 4",2.28E-4,0.113,3.22085E-4
149,"Blue Cut, Subsection 5",2.14E-4,0.106,3.1528214E-4
150,"Blue Cut, Subsection 6",2.0E-4,0.099,3.1620092E-4
151,"Blue Cut, Subsection 7",1.92E-4,0.096,3.15199E-4
152,"Blue Cut, Subsection 8",2.06E-4,0.103,3.215768E-4
153,"Blue Cut, Subsection 9",2.12E-4,0.106,3.3591356E-4
154,"Blue Cut, Subsection 10",1.98E-4,0.099,3.17383E-4
155,"Blue Cut, Subsection 11",1.86E-4,0.093,2.8593835E-4
156,"Blue Cut, Subsection 12",1.62E-4,0.081,2.5284E-4
157,"Brawley (Seismic Zone) alt 1, Subsection 0",0.005776,0.987,0.007488115
158,"Brawley (Seismic Zone) alt 1, Subsection 1",0.006148,0.987,0.008071458
159,"Brawley (Seismic Zone) alt 1, Subsection 2",0.006288,0.987,0.008331523
160,"Brawley (Seismic Zone) alt 1, Subsection 3",0.006386,0.991,0.00849764
161,"Brawley (Seismic Zone) alt 1, Subsection 4",0.006402,0.991,0.008594436
162,"Brawley (Seismic Zone) alt 1, Subsection 5",0.006468,0.991,0.008680939
163,"Brawley (Seismic Zone) alt 1, Subsection 6",0.006506,0.991,0.008729431
164,"Brawley (Seismic Zone) alt 1, Subsection 7",0.006562,0.99,0.008800588
165,"Brawley (Seismic Zone) alt 1, Subsection 8",0.00656,0.989,0.008894959
166,"Brawley (Seismic Zone) alt 1, Subsection 9",0.00654,0.989,0.00886997
167,"Breckenridge 2011, Subsection 0",1.0E-5,0.005,5.5550227E-5
168,"Breckenridge 2011, Subsection 1",1.0E-5,0.005,5.5550227E-5
169,"Bullion Mountains, Subsection 0",2.0E-4,0.099,4.5282464E-4
170,"Bullion Mountains, Subsection 1",2.1E-4,0.104,4.784245E-4
171,"Bullion Mountains, Subsection 2",2.28E-4,0.113,5.1186286E-4
172,"Bullion Mountains, Subsection 3",2.34E-4,0.115,5.236412E-4
173,"Bullion Mountains, Subsection 4",2.24E-4,0.11,5.1192037E-4
