Subsection Index,Subsection Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
71,"Bartlett Springs 2011 CFM, Subsection 22",0.0178,0.0,1.0E-4,1.0E-4,0.0012,0.0178,0.0022,0.0,0.0,0.0,1.0E-4,0.0022,7.0E-4
72,"Battle Creek 2011 CFM, Subsection 0",9.0E-4,0.0,0.0,0.0,1.0E-4,9.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
73,"Battle Creek 2011 CFM, Subsection 1",0.001,0.0,0.0,0.0,1.0E-4,0.001,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
74,"Battle Creek 2011 CFM, Subsection 2",7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
75,"Battle Creek 2011 CFM, Subsection 3",0.001,0.0,0.0,0.0,0.0,0.001,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
76,"Battle Creek 2011 CFM, Subsection 4",0.001,0.0,0.0,0.0,0.0,0.001,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
77,"Battle Creek 2011 CFM, Subsection 5",0.0012,0.0,0.0,0.0,0.0,0.0012,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
78,"Battle Creek 2011 CFM, Subsection 6",0.001,0.0,0.0,0.0,0.0,0.001,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
79,"Bear River fault zone, Subsection 0",0.0035,0.0,0.0,1.0E-4,7.0E-4,0.0035,0.0011,0.0,0.0,1.0E-4,2.0E-4,0.0011,6.0E-4
80,"Bear River fault zone, Subsection 1",0.0037,0.0,0.0,1.0E-4,7.0E-4,0.0037,0.0012,0.0,0.0,1.0E-4,2.0E-4,0.0012,6.0E-4
81,"Bear River fault zone, Subsection 2",0.0039,0.0,0.0,1.0E-4,7.0E-4,0.0039,0.0012,0.0,0.0,1.0E-4,2.0E-4,0.0012,6.0E-4
82,"Bear River fault zone, Subsection 3",0.004,0.0,0.0,1.0E-4,7.0E-4,0.004,0.0013,0.0,0.0,1.0E-4,2.0E-4,0.0013,7.0E-4
83,"Bear River fault zone, Subsection 4",0.004,0.0,0.0,1.0E-4,7.0E-4,0.004,0.001,0.0,0.0,1.0E-4,2.0E-4,0.001,6.0E-4
84,"Bear River fault zone, Subsection 5",0.0041,0.0,0.0,1.0E-4,7.0E-4,0.0041,0.001,0.0,0.0,1.0E-4,2.0E-4,0.001,6.0E-4
85,"Bear River fault zone, Subsection 6",0.0041,0.0,0.0,0.0,6.0E-4,0.0041,8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,4.0E-4
86,"Bear River fault zone, Subsection 7",0.0042,0.0,0.0,0.0,6.0E-4,0.0042,8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,4.0E-4
87,"Bear River fault zone, Subsection 8",0.0049,0.0,0.0,0.0,5.0E-4,0.0049,8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,4.0E-4
88,"Bear River fault zone, Subsection 9",0.0064,0.0,0.0,0.0,5.0E-4,0.0064,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,6.0E-4
89,"Bear River fault zone, Subsection 10",0.0062,0.0,0.0,0.0,5.0E-4,0.0062,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,6.0E-4
90,"Bennett Valley 2011 CFM, Subsection 0",0.0104,0.0,0.0,1.0E-4,0.001,0.0104,0.0029,0.0,0.0,1.0E-4,4.0E-4,0.0029,9.0E-4
91,"Bennett Valley 2011 CFM, Subsection 1",0.0104,0.0,0.0,1.0E-4,0.001,0.0104,0.0029,0.0,0.0,1.0E-4,4.0E-4,0.0029,9.0E-4
92,"Bennett Valley 2011 CFM, Subsection 2",0.01,0.0,0.0,1.0E-4,0.001,0.01,0.0029,0.0,0.0,1.0E-4,4.0E-4,0.0029,9.0E-4
93,"Bennett Valley 2011 CFM, Subsection 3",0.0088,0.0,0.0,1.0E-4,0.001,0.0087,0.0024,0.0,0.0,1.0E-4,2.0E-4,0.0024,7.0E-4
94,"Bennett Valley 2011 CFM, Subsection 4",0.0097,0.0,0.0,1.0E-4,0.0015,0.0095,0.0022,0.0,0.0,1.0E-4,2.0E-4,0.0022,8.0E-4
95,"Bennett Valley 2011 CFM, Subsection 5",0.0097,0.0,0.0,1.0E-4,0.0016,0.0095,0.0021,0.0,0.0,1.0E-4,2.0E-4,0.0021,7.0E-4
96,"Bennett Valley 2011 CFM, Subsection 6",0.0093,0.0,0.0,1.0E-4,0.0015,0.0091,0.002,0.0,0.0,1.0E-4,2.0E-4,0.002,6.0E-4
97,"Bicycle Lake, Subsection 0",0.0095,0.0,0.0,0.0,6.0E-4,0.0093,0.0025,0.0,0.0,0.0,3.0E-4,0.0025,4.0E-4
98,"Bicycle Lake, Subsection 1",0.01,0.0,0.0,0.0,6.0E-4,0.0098,0.0026,0.0,0.0,0.0,3.0E-4,0.0026,4.0E-4
99,"Bicycle Lake, Subsection 2",0.0103,0.0,0.0,0.0,0.001,0.01,0.0025,0.0,0.0,0.0,3.0E-4,0.0025,6.0E-4
100,"Bicycle Lake, Subsection 3",0.0099,0.0,0.0,0.0,9.0E-4,0.0096,0.0025,0.0,0.0,0.0,3.0E-4,0.0025,6.0E-4
101,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 0",0.0033,0.0,0.0,0.0,1.0E-4,0.0033,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,4.0E-4
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",0.0035,0.0,0.0,0.0,1.0E-4,0.0035,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,4.0E-4
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",0.0032,0.0,0.0,0.0,1.0E-4,0.0032,0.001,0.0,0.0,0.0,1.0E-4,0.001,5.0E-4
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",0.0032,0.0,0.0,0.0,1.0E-4,0.0032,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,5.0E-4
